E_A,j_0_ref,r_el,D_CL_ref,D_GDL_ref,f_CL
0.7088671457032134,0.20564115336296895,0.42534638890104115,0.338498195396132,0.8522614317610414,0.3514819192528621
0.7073744270124794,0.2045544556675628,0.4184201106481851,0.32811981859528594,0.8644718323621378,0.34964326409080837
0.7075824112031005,0.2040242753283003,0.41992232394825496,0.32685443929570257,0.8641818493668564,0.3550855057696343
0.7133224695683066,0.20679401506888195,0.41976314804259884,0.3406982423537508,0.8569833063279222,0.32376263468597527
0.7146507978986033,0.20541390170011675,0.4200892351481196,0.33209835594824477,0.8600510999345514,0.34224087933631603
0.7068241329244024,0.20502230620493028,0.42605233080353117,0.3125701753605624,0.8705732058928316,0.41160875104397043
0.7107176415824689,0.20872215073988448,0.4202610219615043,0.3275256649416104,0.861302921669545,0.3477378632159337
0.7149279542394499,0.20349451521399786,0.42537311094732355,0.32904107128011806,0.8529639569044934,0.38807027933899974
0.7124668707297616,0.20315257224579952,0.419610982709959,0.33316552804589195,0.8584915130281537,0.3487767919771489
0.7086588329276954,0.20513094640420915,0.42048487281192337,0.32575233480900867,0.8643692264790565,0.36098984227229164
0.7131422198803732,0.2091783962422648,0.42340692117465567,0.3218802132549995,0.8658164721436453,0.3604144949054485
0.7162343954711452,0.20499248620904797,0.41865311745010414,0.3233044429787839,0.869970256531458,0.35104496176933875
0.7117710715469692,0.20623726599843317,0.4234299422199367,0.34043093581984085,0.8513853959633281,0.3388431349310519
0.7166110825585928,0.20569913045743815,0.4221582676787145,0.32369030397308085,0.8617269491502516,0.37197673945978976
0.7164908507923176,0.20552235652937068,0.42297642122759327,0.32212653952065806,0.8654473794919579,0.3772297343214115
0.7167666584902588,0.20351002287650544,0.4210699130079288,0.3269566782892709,0.8607003695212874,0.36172135115423437
0.7141554286845219,0.2063981536984797,0.4240615545313839,0.32129809224413364,0.8644455596146224,0.37704897888883004
0.7157881033942239,0.20374130123013034,0.42196949667234723,0.3231246449777546,0.8616168799324025,0.3781090603278637
0.7103522149821844,0.20553529949095095,0.4146458912508107,0.3290871033255188,0.8644438686534379,0.3292639400002026
0.7069230656541505,0.2079405550032143,0.4239403100750287,0.3282602426765152,0.8644647986847831,0.35276209638802475
0.7215351789235547,0.20326376373106253,0.42793086125982194,0.3298226967754908,0.85201463576841,0.39440793193088836
0.7093546517493512,0.20565597261791513,0.4278046970911786,0.32785753984853916,0.8569679987398384,0.38102705573293566
0.7115748528470266,0.20511716169075467,0.4251300764925447,0.31895245662633154,0.862633311377263,0.3952601374016001
0.7097881692431014,0.20217811896734716,0.41830510835245993,0.31637636070694874,0.8707442786733504,0.37897785745907603
0.7124482392472559,0.20545725866182485,0.4255657844064712,0.31987110448770384,0.8645993086400412,0.39063697672818415
0.7066606232519442,0.20512110085130364,0.42474276372456593,0.32555230760835085,0.8597440442055649,0.3784224406566764
0.7132201217664271,0.2043255955305754,0.41331573100644614,0.3417222893818531,0.8556258518966835,0.3093874129370917
0.7165044330083861,0.20319721016412362,0.4152294495697695,0.32918771792709534,0.8630452722075234,0.3369532580942253
0.7087637236194145,0.2069164616453099,0.41840370007611283,0.3318869344431834,0.8613503988371796,0.3355182578193497
0.7106435997051023,0.2050335468956771,0.4209295867800899,0.3276333861155679,0.8611711425338012,0.36384103390553224
0.7126451023842776,0.20277256697739832,0.4167000899111075,0.3259458807386477,0.8635817501395527,0.35359666928555256
0.7131598692146072,0.20394163080539418,0.41989555616366053,0.3237530980041966,0.8634430812097159,0.36654910971915555
0.708423354160832,0.20225157714952763,0.4221122455860467,0.3275127788357577,0.8582907735118408,0.37048227428147057
0.7079784935190802,0.20655439240092577,0.4262027701063389,0.315621676729138,0.8709826664905397,0.39688249951755983
0.7160553788175248,0.20493959656154226,0.4113062704141778,0.33975696971479663,0.8559464611828604,0.309676500847126
0.7082372830839727,0.20485488197255508,0.4154003284159479,0.3396891984733409,0.8563011979040764,0.322245580577718
0.7085159417450151,0.20604819147018028,0.42685229155101617,0.3210075518399491,0.8611947692225752,0.3943533623010221
0.7078411676396631,0.20476812313016923,0.4242545205038188,0.324445400913826,0.8653482528159679,0.3730317177049998
0.7089628483420058,0.2032321036111805,0.41991225301262214,0.32338992777272646,0.8639099040146971,0.3698786532084075
0.7076030040494862,0.2049527061301029,0.4209197020657704,0.3309371837210102,0.8590016776240506,0.3529205520250582
0.7105382522878586,0.20496689753542907,0.4187307810836468,0.3329847851343717,0.8589866181927688,0.3413958349048973
0.707948234624385,0.20524926065216087,0.4271795206703055,0.321250754660906,0.8593063983864033,0.4018479256931133
0.7051583361254324,0.20336170288543487,0.42352208629985644,0.33443073040570503,0.8543471039936067,0.3621388000934754
0.7103717736046301,0.20550561695421382,0.4263822476592525,0.3269918439471523,0.8598881131423127,0.3724762215936796
0.712010932121396,0.20759012059105025,0.4250991521307114,0.3119267537988749,0.8723310339996033,0.400348427750968
0.7109106535642108,0.2055931013468416,0.425912147668707,0.3252020809571252,0.8602760064548278,0.37670300424165964
