Pressure,Temperature,Stoichiometry,Current,Voltage
285087.04813234444,339.5636342666942,3.0584797302006157,1.0,0.9889697971355198
285087.04813234444,339.5636342666942,3.0584797302006157,67.55555555555556,0.8802212859546005
285087.04813234444,339.5636342666942,3.0584797302006157,134.11111111111111,0.8352292797139695
285087.04813234444,339.5636342666942,3.0584797302006157,200.66666666666669,0.8217121143354171
285087.04813234444,339.5636342666942,3.0584797302006157,267.22222222222223,0.7763853716417879
285087.04813234444,339.5636342666942,3.0584797302006157,333.77777777777777,0.7690398414687419
285087.04813234444,339.5636342666942,3.0584797302006157,400.33333333333337,0.7368285533810262
285087.04813234444,339.5636342666942,3.0584797302006157,466.8888888888889,0.7317399879977474
285087.04813234444,339.5636342666942,3.0584797302006157,533.4444444444445,0.6856145332051076
285087.04813234444,339.5636342666942,3.0584797302006157,600.0,0.6649514071563793
254017.28063187958,359.41560019588354,1.7856938934282716,1.0,1.0009555682674414
254017.28063187958,359.41560019588354,1.7856938934282716,67.55555555555556,0.8861424065617005
254017.28063187958,359.41560019588354,1.7856938934282716,134.11111111111111,0.8521269173625893
254017.28063187958,359.41560019588354,1.7856938934282716,200.66666666666669,0.8256632411570033
254017.28063187958,359.41560019588354,1.7856938934282716,267.22222222222223,0.7812679097774835
254017.28063187958,359.41560019588354,1.7856938934282716,333.77777777777777,0.7704773659083982
254017.28063187958,359.41560019588354,1.7856938934282716,400.33333333333337,0.7361946630645065
254017.28063187958,359.41560019588354,1.7856938934282716,466.8888888888889,0.7181712712223852
254017.28063187958,359.41560019588354,1.7856938934282716,533.4444444444445,0.6744993478818911
254017.28063187958,359.41560019588354,1.7856938934282716,600.0,0.6480470005556211
145791.78290048928,332.904559867786,2.210808661197631,1.0,0.9553022335557785
145791.78290048928,332.904559867786,2.210808661197631,67.55555555555556,0.8158704815675916
145791.78290048928,332.904559867786,2.210808661197631,134.11111111111111,0.7999539452184079
145791.78290048928,332.904559867786,2.210808661197631,200.66666666666669,0.735557770973658
145791.78290048928,332.904559867786,2.210808661197631,267.22222222222223,0.7266840167396983
145791.78290048928,332.904559867786,2.210808661197631,333.77777777777777,0.67585611322989
145791.78290048928,332.904559867786,2.210808661197631,400.33333333333337,0.6549002823561924
145791.78290048928,332.904559867786,2.210808661197631,466.8888888888889,0.6261962951865233
145791.78290048928,332.904559867786,2.210808661197631,533.4444444444445,0.6011051466354905
145791.78290048928,332.904559867786,2.210808661197631,600.0,0.5526287349138557
285087.04813234444,339.5636342666942,3.0584797302006157,1.0,0.9977647021151864
285087.04813234444,339.5636342666942,3.0584797302006157,67.55555555555556,0.9011769005834123
285087.04813234444,339.5636342666942,3.0584797302006157,134.11111111111111,0.8676537147456128
285087.04813234444,339.5636342666942,3.0584797302006157,200.66666666666669,0.8303987058667499
285087.04813234444,339.5636342666942,3.0584797302006157,267.22222222222223,0.7888993349292013
285087.04813234444,339.5636342666942,3.0584797302006157,333.77777777777777,0.7575407215892905
285087.04813234444,339.5636342666942,3.0584797302006157,400.33333333333337,0.7457660690129639
285087.04813234444,339.5636342666942,3.0584797302006157,466.8888888888889,0.7218777047471963
285087.04813234444,339.5636342666942,3.0584797302006157,533.4444444444445,0.6959534749648818
285087.04813234444,339.5636342666942,3.0584797302006157,600.0,0.6664741932392506
254017.28063187958,359.41560019588354,1.7856938934282716,1.0,0.9970226041047998
254017.28063187958,359.41560019588354,1.7856938934282716,67.55555555555556,0.897001710185247
254017.28063187958,359.41560019588354,1.7856938934282716,134.11111111111111,0.8556246959979061
254017.28063187958,359.41560019588354,1.7856938934282716,200.66666666666669,0.8096641493685299
254017.28063187958,359.41560019588354,1.7856938934282716,267.22222222222223,0.7896853547833723
254017.28063187958,359.41560019588354,1.7856938934282716,333.77777777777777,0.7746269401761884
254017.28063187958,359.41560019588354,1.7856938934282716,400.33333333333337,0.7434347928240799
254017.28063187958,359.41560019588354,1.7856938934282716,466.8888888888889,0.7151452593788872
254017.28063187958,359.41560019588354,1.7856938934282716,533.4444444444445,0.6910147388528874
254017.28063187958,359.41560019588354,1.7856938934282716,600.0,0.6436235283140018
145791.78290048928,332.904559867786,2.210808661197631,1.0,0.9401226901337679
145791.78290048928,332.904559867786,2.210808661197631,67.55555555555556,0.8468153304161365
145791.78290048928,332.904559867786,2.210808661197631,134.11111111111111,0.7973711926614467
145791.78290048928,332.904559867786,2.210808661197631,200.66666666666669,0.7724922953383534
145791.78290048928,332.904559867786,2.210808661197631,267.22222222222223,0.7192450041295722
145791.78290048928,332.904559867786,2.210808661197631,333.77777777777777,0.697534215538993
145791.78290048928,332.904559867786,2.210808661197631,400.33333333333337,0.6359280316914473
145791.78290048928,332.904559867786,2.210808661197631,466.8888888888889,0.6282668881049146
145791.78290048928,332.904559867786,2.210808661197631,533.4444444444445,0.5975554389711706
145791.78290048928,332.904559867786,2.210808661197631,600.0,0.5752289264028501
285087.04813234444,339.5636342666942,3.0584797302006157,1.0,0.9950190461620938
285087.04813234444,339.5636342666942,3.0584797302006157,67.55555555555556,0.8670176057182428
285087.04813234444,339.5636342666942,3.0584797302006157,134.11111111111111,0.8320859693922622
285087.04813234444,339.5636342666942,3.0584797302006157,200.66666666666669,0.8066858879949506
285087.04813234444,339.5636342666942,3.0584797302006157,267.22222222222223,0.8055875765593866
285087.04813234444,339.5636342666942,3.0584797302006157,333.77777777777777,0.7658464342790271
285087.04813234444,339.5636342666942,3.0584797302006157,400.33333333333337,0.7393592492627691
285087.04813234444,339.5636342666942,3.0584797302006157,466.8888888888889,0.7026108775392667
