det
-1494.1824987433083
1.2124710600170325e+21
2.272413361158489e+23
1.4482849335301704e+24
6.096516513011835e+24
1.9614022590657267e+25
4.9462081289682575e+25
1.0288234038759848e+26
2.6033510520766374e+26
7.518835164799154e+26
1.1565443568937657e+27
2.2649966844694616e+27
3.2075120547098634e+27
5.070904238943494e+27
8.458501126429076e+27
1.115506513913386e+28
1.7038518898287764e+28
2.90118031483221e+28
4.071578013309359e+28
4.7968345375946145e+28
5.676692402067646e+28
7.7328065955604175e+28
1.348664097048179e+29
1.4237469201464521e+29
1.874972293176941e+29
2.6918810675909415e+29
3.6784238204990955e+29
3.985703918243984e+29
5.2390692524551236e+29
6.34635089524489e+29
6.985865783064167e+29
1.1225574011825e+30
1.0537399261640515e+30
1.2911253711198505e+30
1.7020331135019392e+30
1.882077014125177e+30
2.1209445227809284e+30
2.0657044043166506e+30
3.2146338414708636e+30
3.4292675058876884e+30
4.1158274431812155e+30
4.411890722749468e+30
5.061019947486157e+30
5.682303942986433e+30
6.36959120650654e+30
7.930060628982643e+30
1.0013530846369712e+31
1.0186354960190412e+31
1.2412435317893063e+31
1.2217105262878424e+31
1.546665672417637e+31
1.8854823912565502e+31
2.0098556560216696e+31
2.1483869834170714e+31
2.3019965473959134e+31
3.07504841313859e+31
3.1585105221496906e+31
3.437136034434034e+31
3.3110229836269387e+31
4.101407742593723e+31
4.247082162023376e+31
6.107678996124237e+31
5.248361470931456e+31
6.195655089533558e+31
6.502232749252582e+31
7.364577814629455e+31
8.169530466937528e+31
1.0657192342984312e+32
9.918227935353556e+31
1.067545657615875e+32
1.1112620499554187e+32
1.3876279125800909e+32
1.3520049132783266e+32
1.4530219687505063e+32
1.5698927663723993e+32
1.789844356699392e+32
2.0764908434005157e+32
2.307652474449851e+32
2.2872592884289394e+32
2.4420447763290834e+32
2.4143514144744204e+32
2.932251242302672e+32
