E_A;j_0_ref;r_el;D_CL_ref;D_GDL_ref;f_CL
0.0009374547978742315;0.0017680036270318305;0.13580038014541956;0.6356611743356791;0.4448634590912227;0.9233075833995126
0.11591468182640607;0.002704795138813924;0.09969056428430147;0.2445424224720672;0.14782286639202893;0.649129372687335
0.005267944281070727;0.0009823073003859646;0.06031164354249016;0.14891507988796054;0.0609703953441891;0.4648064552978542
0.0031462392660528797;0.0005979460570657441;0.038324477103294126;0.10166565646894334;0.03937853992092322;0.3219970171866162
0.0019124636724287677;0.0005118151558942906;0.022230444678959765;0.04547023000031559;0.016652826445195168;0.1693627591863772
0.0015526735399494836;0.0004363671689866675;0.015640660655021225;0.031460588932534735;0.01411658888539554;0.11183386775581007
0.001175768905545163;0.00039013095377851144;0.011468036160859292;0.0329228350172277;0.013719801153292846;0.10024130333391616
0.001135965782756937;0.00035964273979591243;0.00881923525925419;0.02131466365775448;0.009726151132073105;0.07587028618714471
0.001020312473419814;0.00031777264012837475;0.007068487200360258;0.01849862601039317;0.010061354726303264;0.056865072212666685
0.0007588296383533044;0.00027167039928463303;0.007319701301932595;0.016787053509172943;0.0091834497578241;0.05819258546280639
0.0007086783519786136;0.0002488699336053305;0.005493472247346208;0.016364113167049457;0.008255554248254537;0.049644873844896825
0.0006155143182015403;0.0002566822227322819;0.005283741552400482;0.014534160473647362;0.008498385358073523;0.044832783991865
0.0006470944055409222;0.00026084443489042357;0.005439480296324063;0.014766403301461908;0.008200389798374768;0.04540102123803885
0.000583695536912719;0.00022431936165658817;0.00449568823647889;0.011529016649393169;0.006845304358884316;0.03800643906150429
0.0005302270002519729;0.00018092930417853222;0.004158065356301761;0.012008910171109194;0.00620932646166941;0.03771338318691871
0.00045796772731315414;0.00018792539502062905;0.0037186349894005105;0.00909184462091944;0.006037634398763101;0.02973630628047128
0.00042747983205465654;0.0001736354286260987;0.0032629500016446967;0.009924698504965416;0.006348937895691807;0.02899372729611063
0.0003749795368401581;0.00017259388759981086;0.0034082724908860128;0.0094774297765315;0.00594362599888466;0.029310375090968226
0.00043024506935203057;0.00017941224269015893;0.003466755125870407;0.008089509681984998;0.005533561245567345;0.027333948340086626
0.0003633707236336284;0.0001542559622664126;0.0029989923224715805;0.008683738564565434;0.005766368196546042;0.0260643351658082
0.0002922026367527538;0.00011807577274838744;0.00314664902687977;0.007717470194819454;0.004364779921229629;0.025134389893327266
0.000354627091053484;0.00014019297348750285;0.002598543357961908;0.00800853521076948;0.004970345414747899;0.022711328703051988
0.0003477285031908404;0.00012814416748071862;0.002705178806761283;0.007327345540368368;0.004850757520952584;0.022425132866929282
0.0003063250706283126;0.00012009452983210335;0.0027329614024372093;0.006398650839959439;0.004382953442687367;0.021594609867292457
